date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:05	80/80	---M--	200	added ('OK')	text/plain	etag:W/%2250-LnhC3VBmv8jY41FCGHMROYCA8tk%22	https://massagesalon-haarlem.fast-results.net/robots.txt		(from )
17:50:05	82816/82816	---MCZ	200	added ('OK')	text/html	etag:W/%2214380-BN66IErLvx681nSyyhyeuJtwERg%22	https://massagesalon-haarlem.fast-results.net/	C:/My%20Web%20Sites/massagesalon-haarlem/index-2.html	(from )
17:50:05	30247/30247	---MCZ	200	added ('OK')	application/xml	date:Sun,%2005%20Jun%202022%2015:50:05%20GMT	https://massagesalon-haarlem.fast-results.net/sitemap.xml	C:/My%20Web%20Sites/massagesalon-haarlem/sitemap.xml	(from https://massagesalon-haarlem.fast-results.net/)
17:50:05	7745/7745	---MCZ	200	added ('OK')	application/javascript	etag:W/%221e41-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/lazysizes/index.js	C:/My%20Web%20Sites/massagesalon-haarlem/lazysizes/index.js	(from https://massagesalon-haarlem.fast-results.net/)
17:50:05	1086/1086	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2005%20Jun%202022%2015:50:05%20GMT	https://massagesalon-haarlem.fast-results.net/favicon.ico	C:/My%20Web%20Sites/massagesalon-haarlem/favicon.ico	(from https://massagesalon-haarlem.fast-results.net/)
17:50:06	226/226	---M--	200	added ('OK')	application/json	date:Sun,%2005%20Jun%202022%2015:50:05%20GMT	https://massagesalon-haarlem.fast-results.net/manifest.json	C:/My%20Web%20Sites/massagesalon-haarlem/manifest.json	(from https://massagesalon-haarlem.fast-results.net/)
17:50:06	33304/33304	---MCZ	200	added ('OK')	text/css	etag:W/%228218-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/css/inspire/w.css	C:/My%20Web%20Sites/massagesalon-haarlem/css/inspire/w.css	(from https://massagesalon-haarlem.fast-results.net/)
17:50:06	7490/7490	---MCZ	200	added ('OK')	text/css	etag:W/%221d42-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/css/inspire/normalize.css	C:/My%20Web%20Sites/massagesalon-haarlem/css/inspire/normalize.css	(from https://massagesalon-haarlem.fast-results.net/)
17:50:06	11453/11453	---MCZ	200	added ('OK')	text/css	etag:W/%222cbd-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/css/inspire/index.css	C:/My%20Web%20Sites/massagesalon-haarlem/css/inspire/index.css	(from https://massagesalon-haarlem.fast-results.net/)
17:50:06	3246/3246	---MCZ	200	added ('OK')	text/css	etag:W/%22cae-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/css/inspire/custom.css	C:/My%20Web%20Sites/massagesalon-haarlem/css/inspire/custom.css	(from https://massagesalon-haarlem.fast-results.net/)
17:50:07	66/66	---M--	200	added ('OK')	text/css	etag:W/%2242-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/css/fonts/roboto.css	C:/My%20Web%20Sites/massagesalon-haarlem/css/fonts/roboto.css	(from https://massagesalon-haarlem.fast-results.net/)
17:50:07	2522/2522	---MCZ	200	added ('OK')	application/javascript	etag:W/%229da-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/sw.js	C:/My%20Web%20Sites/massagesalon-haarlem/sw.js	(from https://massagesalon-haarlem.fast-results.net/)
17:50:07	18013/18013	---MCZ	200	added ('OK')	application/javascript	etag:W/%22465d-180b30f40f8%22	https://massagesalon-haarlem.fast-results.net/popper/popper.js	C:/My%20Web%20Sites/massagesalon-haarlem/popper/popper.js	(from https://massagesalon-haarlem.fast-results.net/)
17:50:08	85007/85007	---MCZ	200	added ('OK')	text/html	etag:W/%2214c0f-eVSn9kbx0q/T1ecjT1RIibHe6n4%22	https://massagesalon-haarlem.fast-results.net/categories/sportmassage-in-haarlem	C:/My%20Web%20Sites/massagesalon-haarlem/categories/sportmassage-in-haarlem.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:08	83605/83605	---MCZ	200	added ('OK')	text/html	etag:W/%2214695-09FuACqRKEFz6ib5HEQ6mU3kgsQ%22	https://massagesalon-haarlem.fast-results.net/categories/haarlem-triggerpoint-massage	C:/My%20Web%20Sites/massagesalon-haarlem/categories/haarlem-triggerpoint-massage.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:08	84995/84995	---MCZ	200	added ('OK')	text/html	etag:W/%2214c03-ZdnBOczksvruQ5kuB6A0OplpPTI%22	https://massagesalon-haarlem.fast-results.net/categories/relax-massage-haarlem	C:/My%20Web%20Sites/massagesalon-haarlem/categories/relax-massage-haarlem.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:09	82925/82925	---MCZ	200	added ('OK')	text/html	etag:W/%22143ed-0mpQPhyvOohjnTZTb3/ta4s31gA%22	https://massagesalon-haarlem.fast-results.net/categories/haarlem-relax-massage	C:/My%20Web%20Sites/massagesalon-haarlem/categories/haarlem-relax-massage.html	(from https://massagesalon-haarlem.fast-results.net/)
17:50:09	81681/81681	---MCZ	200	added ('OK')	text/html	etag:W/%2213f11-JGEKWMWPyWtpdeK79eyJAWZwdx8%22	https://massagesalon-haarlem.fast-results.net/categories/haarlem-cupping	C:/My%20Web%20Sites/massagesalon-haarlem/categories/haarlem-cupping.html	(from https://massagesalon-haarlem.fast-results.net/)
